filename	proposed_name	confidence	notes
FAST_FURIOUS_5.m4v	Fast Five (2011).m4v	HIGH	
FAST_FURIOUS_6.m4v	Fast & Furious 6 (2013).m4v	HIGH	
FAST_FURIOUS_7.m4v	Furious 7 (2015).m4v	HIGH	
FROZEN.m4v	Frozen (2013).m4v	HIGH	Disney
FindingNemo.m4v	Finding Nemo (2003).m4v	HIGH	Pixar
GOLDEN_COLLECTION_VOLUME_3_D2.m4v		SKIP	multi-episode disc -- exclude from rename
GOLDEN_COLLECTION_VOLUME_3_D4.m4v		SKIP	multi-episode disc -- exclude from rename
GRAVITY.m4v	Gravity (2013).m4v	HIGH	
HARRY_POTTER_GOBLET_OF_FIRE.mp4	Harry Potter and the Goblet of Fire (2005).mp4	HIGH	
HIDDEN_FIGURES.m4v	Hidden Figures (2016).m4v	HIGH	
HITCH.mp4	Hitch (2005).mp4	HIGH	
HOLES.m4v	Holes (2003).m4v	HIGH	Disney
HORTON_HEARS_A_WHO.m4v	Horton Hears a Who! (2008).m4v	HIGH	
HowToTrainYourDragon-ipad.m4v	How to Train Your Dragon (2010).m4v	HIGH	
HuckFinn.m4v	The Adventures of Huck Finn (1993).m4v	HIGH	Disney; Elijah Wood
INDIANA_JONES_LAST_CRUSADE.m4v	Indiana Jones and the Last Crusade (1989).m4v	HIGH	
INDIANA_JONES_RAIDERS_LOST_ARK.m4v	Raiders of the Lost Ark (1981).m4v	HIGH	Indiana Jones 1
INDIANA_JONES_TEMPLE_DOOM.m4v	Indiana Jones and the Temple of Doom (1984).m4v	HIGH	
INSIDE_OUT.m4v	Inside Out (2015).m4v	HIGH	Pixar
IRON_MAN.m4v	Iron Man (2008).m4v	HIGH	runtime 126m matches
Incredibles.mp4	The Incredibles (2004).mp4	HIGH	Pixar
JUSTICE_LEAGUE.m4v	Justice League (2017).m4v	MED	theatrical Whedon cut (runtime 122m); could be Snyder Cut (2021, 242m) -- runtime says theatrical
JUST_GO_WITH_IT.m4v	Just Go with It (2011).m4v	HIGH	
JohnnyLingo.m4v.mp4	Johnny Lingo (1969).mp4	MED	could be 2008 remake -- runtime 91m = 1969 original
KING_AND_I.mp4	The King and I (1956).mp4	MED	could be 1999 animated; runtime 133m = 1956 live action
KNIGHT_AND_DAY_FR.m4v.mp4	Knight and Day (2010).mp4	HIGH	_FR suffix unknown
KUNG_FU_PANDA.mp4	Kung Fu Panda (2008).mp4	HIGH	
KarateKid.mp4	The Karate Kid (1984).mp4	MED	could be 2010 Jaden Smith remake; runtime 126m = 1984 original
LEAP_YEAR.m4v.mp4	Leap Year (2010).mp4	HIGH	
LIFE_AS_WE_KNOW_IT.m4v	Life as We Know It (2010).m4v	HIGH	
LION.m4v	Lion (2016).m4v	HIGH	Dev Patel
LOONEYTUNES_GOLD_VOLUME6_DISC1.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEYTUNES_GOLD_VOLUME6_DISC2.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEYTUNES_GOLD_VOLUME6_DISC3.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEYTUNES_GOLD_VOLUME6_DISC4.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_1.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_2.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_3.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_4.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_6.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_7.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISC_8.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_DISK_5.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V4_D1.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V4_D2.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V4_D3.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V4_D4.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V5_D1.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V5_D2.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V5_D3.m4v		SKIP	multi-episode disc -- exclude from rename
LOONEY_TUNES_GOLDEN_V5_D4.m4v		SKIP	multi-episode disc -- exclude from rename
LOVEFINDSAHOME.m4v	Love Finds a Home (2009).m4v	MED	LDS/religious; year uncertain
LastMimzy.m4v	The Last Mimzy (2007).m4v	HIGH	
LittleRascals.m4v	The Little Rascals (1994).m4v	HIGH	
MADAGASCAR.m4v	Madagascar (2005).m4v	HIGH	runtime 80m = first film
MAID_MANHATTAN.m4v	Maid in Manhattan (2002).m4v	HIGH	
MAMMA_MIA.m4v	Mamma Mia! (2008).m4v	HIGH	runtime 108m = 2008 original; not the sequel
MARVELS_THE_AVENGERS.m4v.mp4	The Avengers (2012).mp4	HIGH	
MUSIC_AND_LYRICS.m4v	Music and Lyrics (2007).m4v	HIGH	
MY_BIG_FAT_GREEK_WEDDING.m4v	My Big Fat Greek Wedding (2002).m4v	HIGH	
MY_SISTERS_KEEPER.m4v	My Sister's Keeper (2009).m4v	HIGH	
Monster_House.mp4	Monster House (2006).mp4	HIGH	higher-bitrate keeper
MonstersInc.mp4	Monsters, Inc. (2001).mp4	HIGH	Pixar
NATIONAL_TREASURE.m4v.mp4	National Treasure (2004).mp4	HIGH	
NEVER_BEEN_KISSED.m4v	Never Been Kissed (1999).m4v	HIGH	
NIGHT_AT_THE_MUSEUM_2.m4v	Night at the Museum: Battle of the Smithsonian (2009).m4v	HIGH	
NOW_YOU_SEE_ME.m4v	Now You See Me (2013).m4v	HIGH	
NarniaLionWitchWardrobe.m4v	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005).m4v	HIGH	
NarniaPrinceCaspian.m4v	The Chronicles of Narnia: Prince Caspian (2008).m4v	HIGH	
NationalTreasure2.m4v	National Treasure: Book of Secrets (2007).m4v	HIGH	
OCEANS_ELEVEN.m4v	Ocean's Eleven (2001).m4v	HIGH	
OCEANS_THIRTEEN.m4v	Ocean's Thirteen (2007).m4v	HIGH	
OCEANS_TWELVE.m4v	Ocean's Twelve (2004).m4v	HIGH	
OverTheHedge.m4v.mp4	Over the Hedge (2006).mp4	HIGH	
PASSENGERS.m4v	Passengers (2016).m4v	HIGH	runtime 116m = 2016 JLaw/Pratt
PERCY_JACKSON_LIGHTENING_THIEF.m4v	Percy Jackson & the Olympians: The Lightning Thief (2010).m4v	HIGH	single file -- no dup
PHANTOM_OF_THE_OPERA_2004.mp4	The Phantom of the Opera (2004).mp4	HIGH	year in filename
PINK_PANTHER_2.m4v.mp4	The Pink Panther 2 (2009).mp4	HIGH	
PIRATES_OF_THE_CARIBBEAN_2.mp4	Pirates of the Caribbean: Dead Man's Chest (2006).mp4	HIGH	
PIRATES_OF_THE_CARRIBEAN.mp4	Pirates of the Caribbean: The Curse of the Black Pearl (2003).mp4	HIGH	typo in original (CARRIBEAN)
PUSH.m4v	Push (2009).m4v	HIGH	
PiratesOfTheCaribbean3.mp4	Pirates of the Caribbean: At World's End (2007).mp4	HIGH	
Pocahontas.m4v	Pocahontas (1995).m4v	HIGH	Disney
Porky_and_the_Pigs_NA_D3.m4v		SKIP	multi-episode disc -- exclude from rename
PridePrejudice.m4v	Pride & Prejudice (2005).m4v	HIGH	Keira Knightley
PrinceOfEgypt.m4v	The Prince of Egypt (1998).m4v	HIGH	
PrinceOfPersia.m4v	Prince of Persia: The Sands of Time (2010).m4v	HIGH	
QUANTUM_OF_SOLACE.m4v	Quantum of Solace (2008).m4v	HIGH	
RATATOUILLE.m4v	Ratatouille (2007).m4v	HIGH	Pixar
READY_PLAYER_ONE.m4v	Ready Player One (2018).m4v	HIGH	
RED.m4v	RED (2010).m4v	HIGH	runtime 111m = 2010; not Red 2 (2013)
RENFIELD.mp4	Renfield (2023).mp4	HIGH	
RETURN_TO_ME.m4v.mp4	Return to Me (2000).mp4	HIGH	
RV.m4v.mp4	RV (2006).mp4	HIGH	Robin Williams
Radio.mp4	Radio (2003).mp4	MED	runtime 124m matches; Cuba Gooding Jr
Robots.m4v	Robots (2005).m4v	HIGH	Blue Sky animated
SAVING_MR_BANKS.m4v	Saving Mr. Banks (2013).m4v	HIGH	
SCOOBYDOO_LIVE.m4v	Scooby-Doo (2002).m4v	MED	live action; could be Monsters Unleashed (2004)
SHARK_TALE.m4v	Shark Tale (2004).m4v	HIGH	
SHREK.m4v.mp4	Shrek (2001).mp4	HIGH	
SHREK_2.mp4	Shrek 2 (2004).mp4	HIGH	
SKYFALL.m4v	Skyfall (2012).m4v	HIGH	
SKY_HIGH.m4v	Sky High (2005).m4v	HIGH	Disney
SON_OF_THE_MASK.m4v	Son of the Mask (2005).m4v	HIGH	
SPIRIT.m4v	Spirit: Stallion of the Cimarron (2002).m4v	HIGH	
STARGATE_ULTIMATE_EDITION.mp4	Stargate (1994).mp4	HIGH	Ultimate Edition
STAR_TREK_BEYOND.m4v	Star Trek Beyond (2016).m4v	HIGH	
STAR_TREK_XI_DOM.m4v.mp4	Star Trek (2009).mp4	HIGH	XI = Kelvin timeline reboot
STAR_WARS_VII_FORCE_AWAKENS.m4v	Star Wars: The Force Awakens (2015).m4v	HIGH	
Shrek_2.m4v		DUPE	DUPE of SHREK_2.mp4 -- already quarantined
Spiderman.mp4	Spider-Man (2002).mp4	MED	runtime 121m = 2002; could be Spider-Man 2 (2004) -- runtime ambiguous
THE_AMAZING_SPIDER_MAN.m4v.mp4	The Amazing Spider-Man (2012).mp4	HIGH	
THE_BOURNE_IDENTITY.m4v.mp4	The Bourne Identity (2002).mp4	HIGH	
THE_BOURNE_SUPREMACY.m4v.mp4	The Bourne Supremacy (2004).mp4	HIGH	
THE_BOURNE_ULTIMATUM.m4v.mp4	The Bourne Ultimatum (2007).mp4	HIGH	
THE_BREAKFAST_CLUB.m4v	The Breakfast Club (1985).m4v	HIGH	
THE_CROW.mp4	The Crow (1994).mp4	HIGH	
THE_HELP.m4v	The Help (2011).m4v	HIGH	
THE_LEGO_MOVIE.m4v	The Lego Movie (2014).m4v	HIGH	
THE_LONGEST_RIDE.m4v	The Longest Ride (2015).m4v	HIGH	
THE_MINUTE_YOU_WAKE_UP_DEAD.mp4		NEEDS_YOU	can't identify -- need user
THE_NOTEBOOK.m4v	The Notebook (2004).m4v	HIGH	
THE_OTHER_WOMAN.m4v	The Other Woman (2014).m4v	HIGH	
THE_TOURIST.m4v	The Tourist (2010).m4v	HIGH	
TIME_TRAVELERS_WIFE.m4v	The Time Traveler's Wife (2009).m4v	HIGH	
TOMB_RAIDER.m4v.mp4	Tomb Raider (2018).mp4	MED	could be 2001 Angelina Jolie; runtime 118m = 2018 Vikander
TOM_AND_JERRY_WISKERS_AWAY.m4v	Tom and Jerry: Whiskers Away (2002).m4v	MED	direct-to-video; year uncertain
The Hunger Games (HD).m4v	The Hunger Games (2012).m4v	HIGH	_HD suffix
The Hunger Games Catching Fire (2013).mp4	The Hunger Games: Catching Fire (2013).mp4	HIGH	single file present -- no dup
TheHoliday.m4v	The Holiday (2006).m4v	HIGH	
The_Dark_Knight.m4v	The Dark Knight (2008).m4v	HIGH	  [case-insensitive match]
The_Switch.m4v	The Switch (2010).m4v	MED	could be other film
WALL_E.m4v	WALL-E (2008).m4v	HIGH	
WEDDING_PLANNER.m4v	The Wedding Planner (2001).m4v	HIGH	
WOMAN_IN_GOLD.m4v	Woman in Gold (2015).m4v	HIGH	
WONDER_WOMAN.m4v	Wonder Woman (2017).m4v	HIGH	
WORK_AND_GLORY.m4v	The Work and the Story (2004).m4v	MED	LDS film; year uncertain
WORK_AND_GLORY_2.m4v		NEEDS_YOU	LDS sequel; need year (likely 'The Work and the Story: American Zion' 2005?)
WORK_AND_THE_GLORY_3.m4v		NEEDS_YOU	LDS sequel; need year
WRECK_IT_RALPH.m4v	Wreck-It Ralph (2012).m4v	HIGH	
Warm Bodies.m4v	Warm Bodies (2013).m4v	HIGH	
X2_X-MEN_UNITED.m4v	X2 (2003).m4v	HIGH	
XMEN.m4v	X-Men (2000).m4v	HIGH	runtime 104m = X-Men 2000
X_MEN_DAYS_OF_FUTURE_PAST.m4v	X-Men: Days of Future Past (2014).m4v	HIGH	
cars.m4v	Cars (2006).m4v	HIGH	Pixar

# --- Summary ---
# total files: 180
# HIGH: 136
# MED: 16
# NEEDS_YOU: 4
# SKIP: 23
# DUPE: 1
